team1,team2,outcome
"['Articuno', 'Ninetales-Alola', 'Arcanine-Hisui', 'Ogerpon-Wellspring', 'Landorus', 'Raging Bolt']","['Charizard', 'Raging Bolt', 'Primarina', 'Fezandipiti', 'Torkoal', 'Urshifu-*']",1
"['Tornadus', 'Flutter Mane', 'Raging Bolt', 'Urshifu-*', 'Incineroar', 'Heatran']","['Zoroark-Hisui', 'Thundurus', 'Skeledirge', 'Empoleon', 'Bronzong', 'Landorus']",1
"['Iron Valiant', 'Gallade', 'Spectrier', 'Incineroar', 'Primarina', 'Ogerpon']","['Snorlax', 'Tornadus', 'Flutter Mane', 'Incineroar', 'Roaring Moon', 'Cobalion']",0
"['Dondozo', 'Tatsugiri', 'Flutter Mane', 'Glimmora', 'Cresselia', 'Ursaluna']","['Sableye', 'Volcarona', 'Primarina', 'Malamar', 'Comfey', 'Landorus']",1
"['Dugtrio', 'Tyranitar', 'Excadrill', 'Landorus', 'Houndstone', 'Flutter Mane']","['Glimmora', 'Ogerpon-Wellspring', 'Urshifu-*', 'Chi-Yu', 'Flutter Mane', 'Tornadus']",1
"['Bronzong', 'Tyranitar', 'Ursaluna-Bloodmoon', 'Excadrill', 'Enamorus-Therian', 'Corviknight']","['Landorus-Therian', 'Weezing-Galar', 'Flutter Mane', 'Typhlosion-Hisui', 'Tornadus', 'Iron Bundle']",1
"['Articuno', 'Ninetales-Alola', 'Arcanine-Hisui', 'Ogerpon-Wellspring', 'Landorus', 'Raging Bolt']","['Tornadus', 'Landorus', 'Pelipper', 'Archaludon', 'Ogerpon-Wellspring', 'Grimmsnarl']",0
"['Terrakion', 'Whimsicott', 'Chi-Yu', 'Flutter Mane', 'Ogerpon-Wellspring', 'Archaludon']","['Whimsicott', 'Entei', 'Urshifu-*', 'Okidogi', 'Basculegion', 'Flutter Mane']",1
"['Charizard', 'Raging Bolt', 'Primarina', 'Fezandipiti', 'Torkoal', 'Urshifu-*']","['Dragonite', 'Chien-Pao', 'Flutter Mane', 'Raging Bolt', 'Heatran', 'Urshifu-*']",1
"['Kommo-o', 'Tyranitar', 'Rillaboom', 'Arcanine-Hisui', 'Ogerpon-Wellspring', 'Ninetales-Alola']","['Indeedee-F', 'Iron Crown', 'Ogerpon-Hearthflame', 'Drifblim', 'Landorus-Therian', 'Urshifu-*']",0
"['Ninetales', 'Rillaboom', 'Incineroar', 'Amoonguss', 'Raging Bolt', 'Walking Wake']","['Ogerpon-Wellspring', 'Flutter Mane', 'Raging Bolt', 'Incineroar', 'Farigiraf', 'Chien-Pao']",0
"['Urshifu-*', 'Ogerpon-Wellspring', 'Raging Bolt', 'Incineroar', 'Tornadus', 'Weezing']","['Venusaur', 'Swampert', 'Delphox', 'Indeedee-F', 'Whimsicott', 'Flutter Mane']",1
"['Victreebel', 'Grimmsnarl', 'Garganacl', 'Azelf', 'Suicune', 'Sandslash']","['Flutter Mane', 'Incineroar', 'Haxorus', 'Landorus-Therian', 'Raging Bolt', 'Metagross']",1
"['Suicune', 'Gouging Fire', 'Kingambit', 'Yanmega', 'Iron Hands', 'Farigiraf']","['Armarouge', 'Indeedee-F', 'Torkoal', 'Gallade', 'Ursaluna', 'Ogerpon-Cornerstone']",1
"['Amoonguss', 'Entei', 'Raging Bolt', 'Porygon2', 'Ursaluna', 'Urshifu-*']","['Amoonguss', 'Slowbro', 'Indeedee-F', 'Ursaluna', 'Incineroar', 'Iron Hands']",0
"['Landorus', 'Sableye', 'Espathra', 'Flutter Mane', 'Rillaboom', 'Torkoal']","['Tornadus', 'Raging Bolt', 'Urshifu-*', 'Landorus', 'Farigiraf', 'Incineroar']",0
"['Pelipper', 'Urshifu-*', 'Politoed', 'Vaporeon', 'Raichu', 'Tinkaton']","['Ursaluna-Bloodmoon', 'Tornadus', 'Farigiraf', 'Iron Hands', 'Ogerpon-Hearthflame', 'Urshifu-*']",1
"['Dondozo', 'Tatsugiri', 'Archaludon', 'Tornadus', 'Landorus', 'Urshifu-*']","['Urshifu-*', 'Flutter Mane', 'Archaludon', 'Tornadus', 'Dragonite', 'Amoonguss']",0
"['Archaludon', 'Tornadus', 'Landorus', 'Amoonguss', 'Urshifu-*', 'Incineroar']","['Ogerpon-Cornerstone', 'Urshifu-*', 'Amoonguss', 'Ursaluna-Bloodmoon', 'Incineroar', 'Flutter Mane']",0
"['Entei', 'Roaring Moon', 'Okidogi', 'Ursaluna', 'Cresselia', 'Flutter Mane']","['Cresselia', 'Ursaluna-Bloodmoon', 'Gyarados', 'Duraludon', 'Kingdra', 'Pelipper']",0
"['Torkoal', 'Flutter Mane', 'Ogerpon-Cornerstone', 'Farigiraf', 'Gouging Fire', 'Iron Hands']","['Ninetales-Alola', 'Roaring Moon', 'Gholdengo', 'Rillaboom', 'Arcanine-Hisui', 'Amoonguss']",0
"['Rhyperior', 'Milotic', 'Bronzong', 'Incineroar', 'Amoonguss', 'Porygon2']","['Greedent', 'Meowscarada', 'Rillaboom', 'Florges', 'Mimikyu', 'Swalot']",1
"['Incineroar', 'Gholdengo', 'Tornadus', 'Urshifu-*', 'Ogerpon-Wellspring', 'Dragonite']","['Sableye', 'Volcarona', 'Primarina', 'Malamar', 'Comfey', 'Landorus']",0
"['Venusaur', 'Swampert', 'Delphox', 'Indeedee-F', 'Whimsicott', 'Flutter Mane']","['Tyranitar', 'Thundurus', 'Amoonguss', 'Gouging Fire', 'Spectrier', 'Excadrill']",1
"['Infernape', 'Rillaboom', 'Ambipom', 'Annihilape', 'Passimian', 'Oranguru']","['Incineroar', 'Gholdengo', 'Urshifu-*', 'Tornadus', 'Latios', 'Ogerpon-Wellspring']",0
"['Articuno', 'Ninetales-Alola', 'Arcanine-Hisui', 'Ogerpon-Wellspring', 'Landorus', 'Raging Bolt']","['Exeggutor-Alola', 'Torkoal', 'Malamar', 'Indeedee-F', 'Raging Bolt', 'Perrserker']",1
"['Clefairy', 'Raging Bolt', 'Kingambit', 'Primarina', 'Typhlosion-Hisui', 'Gallade']","['Ursaluna', 'Sinistcha', 'Incineroar', 'Goodra-Hisui', 'Grimmsnarl', 'Farigiraf']",0
"['Rillaboom', 'Landorus', 'Ogerpon-Wellspring', 'Raging Bolt', 'Flutter Mane', 'Incineroar']","['Incineroar', 'Rillaboom', 'Annihilape', 'Flutter Mane', 'Gastrodon', 'Maushold']",1
"['Pelipper', 'Tornadus', 'Amoonguss', 'Landorus', 'Thundurus-Therian', 'Incineroar']","['Ogerpon-Wellspring', 'Gholdengo', 'Gouging Fire', 'Tornadus', 'Urshifu-*', 'Landorus']",1
"['Incineroar', 'Rillaboom', 'Urshifu-*', 'Flutter Mane', 'Raging Bolt', 'Tornadus']","['Farigiraf', 'Talonflame', 'Iron Hands', 'Braviary-Hisui', 'Avalugg-Hisui', 'Garchomp']",0
"['Primeape', 'Rillaboom', 'Oranguru', 'Infernape', 'Annihilape', 'Munkidori']","['Flutter Mane', 'Chi-Yu', 'Dondozo', 'Tatsugiri', 'Chien-Pao', 'Dragonite']",0
"['Incineroar', 'Raging Bolt', 'Urshifu-*', 'Chien-Pao', 'Rillaboom', 'Landorus']","['Torkoal', 'Lilligant-Hisui', 'Walking Wake', 'Trevenant', 'Heatran']",1
"['Glastrier', 'Farigiraf', 'Enamorus', 'Tyranitar', 'Chandelure', 'Urshifu-*']","['Ninetales-Alola', 'Roaring Moon', 'Gholdengo', 'Rillaboom', 'Arcanine-Hisui', 'Amoonguss']",1
"['Dragonite', 'Chien-Pao', 'Flutter Mane', 'Entei', 'Ogerpon-Wellspring', 'Raging Bolt']","['Rillaboom', 'Incineroar', 'Farigiraf', 'Flutter Mane', 'Urshifu-*', 'Ogerpon-Hearthflame']",1
"['Farigiraf', 'Rillaboom', 'Chien-Pao', 'Gholdengo', 'Urshifu-*', 'Tornadus']","['Politoed', 'Archaludon', 'Ludicolo', 'Metagross', 'Swampert', 'Lucario']",0
"['Farigiraf', 'Cresselia', 'Ursaluna', 'Incineroar', 'Primarina', 'Dragapult']","['Suicune', 'Gouging Fire', 'Kingambit', 'Yanmega', 'Iron Hands', 'Farigiraf']",1
"['Glimmora', 'Magmar', 'Rillaboom', 'Suicune', 'Chien-Pao', 'Dragonite']","['Incineroar', 'Rillaboom', 'Urshifu-*', 'Farigiraf', 'Raging Bolt', 'Flutter Mane']",0
"['Urshifu-*', 'Archaludon', 'Pelipper', 'Amoonguss', 'Baxcalibur', 'Chien-Pao']","['Articuno', 'Ninetales-Alola', 'Landorus', 'Raging Bolt', 'Ogerpon-Wellspring', 'Arcanine-Hisui']",1
"['Incineroar', 'Rillaboom', 'Urshifu-*', 'Flutter Mane', 'Raging Bolt', 'Tornadus']","['Gallade', 'Hatterene', 'Torkoal', 'Tsareena', 'Indeedee-F', 'Ursaluna']",0
"['Clefairy', 'Raging Bolt', 'Kingambit', 'Primarina', 'Typhlosion-Hisui', 'Gallade']","['Flutter Mane', 'Incineroar', 'Amoonguss', 'Landorus', 'Urshifu-*', 'Ogerpon-Wellspring']",0
"['Garchomp', 'Tyranitar', 'Rabsca', 'Indeedee-F', 'Metagross', 'Orthworm']","['Rillaboom', 'Landorus', 'Ogerpon-Wellspring', 'Raging Bolt', 'Flutter Mane', 'Incineroar']",1
"['Kingambit', 'Gouging Fire', 'Torkoal', 'Ogerpon-Wellspring', 'Farigiraf', 'Iron Hands']","['Venusaur', 'Swampert', 'Delphox', 'Indeedee-F', 'Whimsicott', 'Flutter Mane']",0
"['Primeape', 'Rillaboom', 'Oranguru', 'Infernape', 'Annihilape', 'Munkidori']","['Tyranitar', 'Excadrill', 'Salamence', 'Okidogi', 'Corviknight', 'Amoonguss']",1
"['Exeggutor-Alola', 'Torkoal', 'Malamar', 'Indeedee-F', 'Raging Bolt', 'Perrserker']","['Arcanine-Hisui', 'Gholdengo', 'Ogerpon-Wellspring', 'Tornadus', 'Urshifu-*', 'Raging Bolt']",0
"['Primarina', 'Ogerpon-Hearthflame', 'Rillaboom', 'Farigiraf', 'Flutter Mane', 'Urshifu-*']","['Rillaboom', 'Flutter Mane', 'Suicune', 'Incineroar', 'Urshifu-*', 'Gholdengo']",0
"['Rillaboom', 'Landorus', 'Incineroar', 'Raging Bolt', 'Urshifu-*', 'Chien-Pao']","['Iron Crown', 'Indeedee-F', 'Urshifu-*', 'Incineroar', 'Hatterene', 'Gouging Fire']",1
"['Gholdengo', 'Raging Bolt', 'Tornadus', 'Urshifu-*', 'Incineroar', 'Ogerpon-Wellspring']","['Gouging Fire', 'Ogerpon-Wellspring', 'Kingambit', 'Flutter Mane', 'Landorus', 'Rillaboom']",1
"['Suicune', 'Gouging Fire', 'Kingambit', 'Yanmega', 'Iron Hands', 'Farigiraf']","['Ursaluna-Bloodmoon', 'Hatterene', 'Indeedee-F', 'Iron Hands', 'Torkoal', 'Urshifu-*']",0
"['Gyarados', 'Chien-Pao', 'Articuno', 'Ninetales-Alola', 'Electivire', 'Entei']","['Urshifu-*', 'Chien-Pao', 'Landorus', 'Rillaboom', 'Raging Bolt', 'Incineroar']",0
"['Farigiraf', 'Rillaboom', 'Ogerpon-Hearthflame', 'Urshifu-*', 'Zapdos-Galar', 'Flutter Mane']","['Toxapex', 'Mimikyu', 'Ursaluna-Bloodmoon', 'Iron Bundle', 'Glastrier', 'Registeel']",1
"['Toxapex', 'Mimikyu', 'Ursaluna-Bloodmoon', 'Iron Bundle', 'Glastrier', 'Registeel']","['Mamoswine', 'Whimsicott', 'Chi-Yu', 'Flutter Mane', 'Raging Bolt', 'Brute Bonnet']",1
"['Iron Hands', 'Tornadus', 'Urshifu-*', 'Farigiraf', 'Ursaluna-Bloodmoon', 'Ogerpon-Hearthflame']","['Weezing', 'Landorus', 'Flutter Mane', 'Raging Bolt', 'Ogerpon-Wellspring', 'Tornadus']",1
"['Rillaboom', 'Landorus', 'Ogerpon-Wellspring', 'Raging Bolt', 'Flutter Mane', 'Incineroar']","['Latias', 'Greedent', 'Indeedee-F', 'Incineroar', 'Dragonite', 'Chien-Pao']",0
"['Kleavor', 'Slither Wing', 'Incineroar', 'Raging Bolt', 'Whimsicott', 'Crawdaunt']","['Clefairy', 'Raging Bolt', 'Kingambit', 'Primarina', 'Typhlosion-Hisui', 'Gallade']",1
"['Incineroar', 'Raging Bolt', 'Urshifu-*', 'Chien-Pao', 'Rillaboom', 'Landorus']","['Tornadus', 'Regidrago', 'Urshifu-*', 'Ogerpon-Wellspring', 'Gholdengo', 'Rillaboom']",1
"['Gallade', 'Indeedee-F', 'Torkoal', 'Hatterene', 'Ursaluna', 'Ogerpon-Cornerstone']","['Flutter Mane', 'Incineroar', 'Raging Bolt', 'Landorus', 'Ogerpon-Wellspring']",1
"['Gallade', 'Indeedee-F', 'Torkoal', 'Hatterene', 'Ursaluna', 'Ogerpon-Cornerstone']","['Flutter Mane', 'Incineroar', 'Raging Bolt', 'Landorus', 'Ogerpon-Wellspring']",1
"['Rillaboom', 'Landorus', 'Ogerpon-Wellspring', 'Raging Bolt', 'Flutter Mane', 'Incineroar']","['Archaludon', 'Tornadus', 'Landorus', 'Urshifu-*', 'Amoonguss', 'Incineroar']",0
"['Primarina', 'Gothitelle', 'Flutter Mane', 'Incineroar', 'Kingambit', 'Iron Hands']","['Ting-Lu', 'Dondozo', 'Gouging Fire', 'Chien-Pao']",0
"['Ogerpon-Wellspring', 'Dragonite', 'Dondozo', 'Chien-Pao', 'Glimmora', 'Tatsugiri']","['Klawf', 'Incineroar', 'Bruxish', 'Raging Bolt', 'Comfey', 'Rillaboom']",0
"['Raging Bolt', 'Iron Bundle', 'Archaludon', 'Thundurus', 'Iron Hands', 'Iron Valiant']","['Torkoal', 'Flutter Mane', 'Ogerpon-Cornerstone', 'Farigiraf', 'Gouging Fire', 'Iron Hands']",1
"['Gothitelle', 'Scream Tail', 'Flutter Mane', 'Ogerpon-Wellspring', 'Incineroar', 'Baxcalibur']","['Torterra', 'Smeargle', 'Cresselia', 'Annihilape', 'Incineroar', 'Okidogi']",0
"['Chien-Pao', 'Urshifu-*', 'Raging Bolt', 'Incineroar', 'Rillaboom', 'Landorus']","['Cresselia', 'Ursaluna', 'Chi-Yu', 'Regieleki', 'Mimikyu', 'Torkoal']",1
"['Okidogi', 'Ogerpon-Wellspring', 'Corviknight', 'Whimsicott', 'Chi-Yu', 'Flutter Mane']","['Amoonguss', 'Thundurus', 'Chien-Pao', 'Entei', 'Raging Bolt', 'Landorus']",1
"['Metagross', 'Flutter Mane', 'Archaludon', 'Dondozo', 'Tatsugiri', 'Pelipper']","['Ursaluna-Bloodmoon', 'Tornadus', 'Farigiraf', 'Iron Hands', 'Ogerpon-Hearthflame', 'Urshifu-*']",0
"['Moltres-Galar', 'Sableye', 'Comfey', 'Archaludon', 'Glastrier', 'Ogerpon-Wellspring']","['Iron Hands', 'Tornadus', 'Urshifu-*', 'Farigiraf', 'Ursaluna-Bloodmoon', 'Entei']",0
"['Flutter Mane', 'Urshifu-*', 'Ogerpon-Hearthflame', 'Chi-Yu', 'Amoonguss', 'Tornadus']","['Tornadus', 'Thundurus-Therian', 'Wartortle', 'Urshifu-*', 'Archaludon', 'Flutter Mane']",0
"['Okidogi', 'Grimmsnarl', 'Ogerpon-Wellspring', 'Arcanine-Hisui', 'Corviknight', 'Landorus']","['Archaludon', 'Pelipper', 'Amoonguss', 'Raging Bolt', 'Flutter Mane', 'Basculegion']",0
"['Decidueye', 'Swampert', 'Delphox', 'Indeedee-F', 'Regidrago', 'Tornadus']","['Incineroar', 'Primarina', 'Amoonguss', 'Cresselia', 'Porygon2', 'Kingambit']",1
"['Ogerpon-Wellspring', 'Flutter Mane', 'Arcanine-Hisui', 'Gholdengo', 'Tornadus', 'Landorus']","['Exeggutor', 'Torkoal', 'Raging Bolt', 'Flutter Mane', 'Incineroar', 'Tornadus']",1
"['Indeedee-F', 'Armarouge', 'Kingambit', 'Torkoal', 'Lilligant-Hisui', 'Ursaluna']","['Rillaboom', 'Raging Bolt', 'Annihilape', 'Maushold-Four', 'Farigiraf', 'Torkoal']",0
"['Torkoal', 'Roaring Moon', 'Incineroar', 'Flutter Mane', 'Raging Bolt', 'Tornadus']","['Lucario', 'Iron Moth', 'Cresselia', 'Ursaluna', 'Primarina', 'Ogerpon-Cornerstone']",1
"['Gholdengo', 'Garchomp', 'Tyranitar', 'Incineroar', 'Maushold-Four', 'Tornadus']","['Decidueye', 'Swampert', 'Delphox', 'Indeedee-F', 'Regidrago', 'Tornadus']",1
"['Dragonite', 'Chien-Pao', 'Chi-Yu', 'Tatsugiri-Stretchy', 'Dondozo', 'Flutter Mane']","['Incineroar', 'Gholdengo', 'Ambipom', 'Ogerpon-Hearthflame', 'Flutter Mane', 'Tornadus']",0
"['Roaring Moon', 'Armarouge', 'Indeedee-F', 'Farigiraf', 'Annihilape', 'Flamigo']","['Moltres-Galar', 'Comfey', 'Tornadus', 'Raging Bolt', 'Entei', 'Ogerpon-Wellspring']",0
"['Articuno', 'Ninetales-Alola', 'Landorus', 'Raging Bolt', 'Ogerpon-Wellspring', 'Arcanine-Hisui']","['Urshifu-*', 'Flutter Mane', 'Archaludon', 'Tornadus', 'Dragonite', 'Amoonguss']",0
"['Pelipper', 'Archaludon', 'Annihilape', 'Maushold', 'Ogerpon-Wellspring', 'Amoonguss']","['Articuno', 'Ninetales-Alola', 'Arcanine-Hisui', 'Ogerpon-Wellspring', 'Landorus', 'Raging Bolt']",1
"['Infernape', 'Rillaboom', 'Ambipom', 'Annihilape', 'Passimian', 'Oranguru']","['Florges', 'Flutter Mane', 'Urshifu-*', 'Tsareena', 'Glimmora', 'Electabuzz']",1
"['Dondozo', 'Ting-Lu', 'Gouging Fire', 'Chien-Pao', 'Dragonite', 'Flutter Mane']","['Farigiraf', 'Ursaluna-Bloodmoon', 'Iron Hands', 'Tornadus', 'Ogerpon-Hearthflame', 'Urshifu-*']",1
"['Raging Bolt', 'Incineroar', 'Rillaboom', 'Metagross', 'Amoonguss', 'Urshifu-*']","['Urshifu-*', 'Landorus', 'Incineroar', 'Rillaboom', 'Ogerpon-Hearthflame', 'Raging Bolt']",1
"['Incineroar', 'Flutter Mane', 'Tornadus', 'Urshifu-*', 'Rillaboom', 'Raging Bolt']","['Farigiraf', 'Tornadus', 'Urshifu-*', 'Ogerpon-Hearthflame', 'Iron Hands', 'Ursaluna-Bloodmoon']",0
"['Ninetales', 'Rillaboom', 'Incineroar', 'Amoonguss', 'Raging Bolt', 'Walking Wake']","['Flutter Mane', 'Incineroar', 'Raging Bolt', 'Landorus', 'Ogerpon-Wellspring', 'Amoonguss']",1
"['Rillaboom', 'Landorus', 'Incineroar', 'Raging Bolt', 'Urshifu-*', 'Chien-Pao']","['Flutter Mane', 'Gouging Fire', 'Chien-Pao', 'Ogerpon-Wellspring', 'Kingambit', 'Rillaboom']",0
"['Rillaboom', 'Gholdengo', 'Arcanine-Hisui', 'Iron Bundle', 'Landorus', 'Okidogi']","['Rampardos', 'Oranguru', 'Torkoal', 'Incineroar', 'Flutter Mane', 'Raging Bolt']",0
"['Incineroar', 'Gholdengo', 'Ambipom', 'Ogerpon-Hearthflame', 'Flutter Mane', 'Tornadus']","['Raging Bolt', 'Incineroar', 'Rillaboom', 'Metagross', 'Amoonguss', 'Urshifu-*']",1
"['Oranguru', 'Maushold-Four', 'Enamorus-Therian', 'Urshifu-*', 'Bruxish', 'Ursaluna']","['Incineroar', 'Flutter Mane', 'Venusaur', 'Walking Wake', 'Ting-Lu']",0
"['Decidueye', 'Swampert', 'Delphox', 'Indeedee-F', 'Regidrago', 'Tornadus']","['Regice', 'Ninetales-Alola', 'Milotic', 'Urshifu-*', 'Rillaboom', 'Landorus-Therian']",0
"['Tyranitar', 'Garchomp', 'Gholdengo', 'Gyarados', 'Corviknight', 'Magmortar']","['Dondozo', 'Tatsugiri', 'Thundurus', 'Pelipper', 'Pikachu', 'Urshifu-*']",0
"['Chien-Pao', 'Urshifu-*', 'Raging Bolt', 'Incineroar', 'Rillaboom', 'Landorus']","['Roaring Moon', 'Armarouge', 'Indeedee-F', 'Farigiraf', 'Annihilape', 'Flamigo']",0
"['Ogerpon-Cornerstone', 'Urshifu-*', 'Amoonguss', 'Ursaluna-Bloodmoon', 'Incineroar', 'Flutter Mane']","['Rillaboom', 'Landorus', 'Incineroar', 'Raging Bolt', 'Urshifu-*', 'Chien-Pao']",1
"['Florges', 'Flutter Mane', 'Urshifu-*', 'Tsareena', 'Glimmora', 'Electabuzz']","['Urshifu-*', 'Flutter Mane', 'Incineroar', 'Iron Hands', 'Ogerpon-Cornerstone', 'Sinistcha']",0
"['Dondozo', 'Tatsugiri', 'Flutter Mane', 'Ogerpon-Hearthflame', 'Glimmora', 'Dragonite']","['Tsareena', 'Chandelure', 'Ninetales-Alola', 'Toxtricity', 'Rabsca', 'Metagross']",1
"['Suicune', 'Gouging Fire', 'Kingambit', 'Yanmega', 'Iron Hands', 'Farigiraf']","['Torkoal', 'Ogerpon-Hearthflame', 'Venusaur', 'Flutter Mane', 'Tornadus', 'Landorus-Therian']",1
"['Flutter Mane', 'Gouging Fire', 'Chien-Pao', 'Ogerpon-Wellspring', 'Kingambit', 'Rillaboom']","['Sableye', 'Volcarona', 'Primarina', 'Malamar', 'Comfey', 'Landorus']",0
"['Gholdengo', 'Thundurus', 'Urshifu-*', 'Swampert', 'Entei', 'Cresselia']","['Enamorus-Therian', 'Gholdengo', 'Rillaboom', 'Samurott-Hisui', 'Sneasler', 'Volcarona']",0
"['Ninetales', 'Rillaboom', 'Incineroar', 'Amoonguss', 'Raging Bolt', 'Walking Wake']","['Landorus', 'Tornadus', 'Gholdengo', 'Rillaboom', 'Arcanine-Hisui', 'Urshifu-*']",0
"['Ogerpon-Wellspring', 'Farigiraf', 'Incineroar', 'Ursaluna-Bloodmoon', 'Urshifu-*', 'Flutter Mane']","['Whimsicott', 'Annihilape', 'Typhlosion-Hisui', 'Flutter Mane', 'Landorus', 'Ogerpon-Wellspring']",1
"['Amoonguss', 'Slowbro', 'Indeedee-F', 'Ursaluna', 'Incineroar', 'Iron Hands']","['Dondozo', 'Tatsugiri', 'Flutter Mane', 'Ogerpon-Hearthflame', 'Glimmora', 'Dragonite']",0
"['Garchomp', 'Rampardos', 'Bronzong', 'Indeedee-F', 'Lucario', 'Exeggutor-Alola']","['Grimmsnarl', 'Farigiraf', 'Incineroar', 'Fezandipiti', 'Volcarona', 'Ursaluna-Bloodmoon']",1
"['Archaludon', 'Tornadus', 'Landorus', 'Amoonguss', 'Urshifu-*', 'Incineroar']","['Rillaboom', 'Landorus', 'Incineroar', 'Raging Bolt', 'Urshifu-*', 'Chien-Pao']",1
"['Indeedee-F', 'Armarouge', 'Torkoal', 'Gallade', 'Ursaluna', 'Ogerpon-Cornerstone']","['Pelipper', 'Urshifu-*', 'Politoed', 'Vaporeon', 'Raichu', 'Tinkaton']",1
"['Tornadus', 'Incineroar', 'Urshifu-*', 'Archaludon', 'Rillaboom', 'Landorus']","['Tsareena', 'Chandelure', 'Ninetales-Alola', 'Toxtricity', 'Rabsca', 'Metagross']",1
"['Pelipper', 'Basculegion', 'Archaludon', 'Kilowattrel', 'Ogerpon-Wellspring', 'Urshifu-*']","['Venusaur', 'Swampert', 'Delphox', 'Indeedee-F', 'Whimsicott', 'Flutter Mane']",0
"['Incineroar', 'Gholdengo', 'Tornadus', 'Urshifu-*', 'Ogerpon-Wellspring', 'Dragonite']","['Articuno', 'Ninetales-Alola', 'Landorus', 'Raging Bolt', 'Ogerpon-Wellspring', 'Arcanine-Hisui']",0
"['Incineroar', 'Raging Bolt', 'Urshifu-*', 'Landorus', 'Rillaboom', 'Flutter Mane']","['Clefairy', 'Raging Bolt', 'Kingambit', 'Primarina', 'Typhlosion-Hisui', 'Gallade']",0
"['Gholdengo', 'Tyranitar', 'Enamorus-Therian', 'Excadrill', 'Wugtrio', 'Moltres-Galar']","['Amoonguss', 'Entei', 'Raging Bolt', 'Porygon2', 'Ursaluna', 'Urshifu-*']",1
"['Amoonguss', 'Slowbro', 'Indeedee-F', 'Ursaluna', 'Incineroar', 'Iron Hands']","['Gallade', 'Indeedee-F', 'Kingambit', 'Torkoal', 'Ogerpon-Cornerstone', 'Hatterene']",0
"['Smeargle', 'Flamigo', 'Muk-Alola', 'Espathra', 'Sableye', 'Grafaiai']","['Primarina', 'Ogerpon-Hearthflame', 'Rillaboom', 'Farigiraf', 'Flutter Mane', 'Urshifu-*']",0
"['Indeedee-F', 'Iron Crown', 'Iron Moth', 'Ursaluna-Bloodmoon', 'Gallade', 'Empoleon']","['Chien-Pao', 'Raging Bolt', 'Rillaboom', 'Urshifu-*', 'Incineroar', 'Landorus']",0
"['Indeedee-F', 'Gallade', 'Ursaluna', 'Torkoal', 'Hatterene', 'Lilligant-Hisui']","['Torkoal', 'Flutter Mane', 'Ursaluna', 'Iron Hands', 'Brute Bonnet', 'Farigiraf']",1
"['Sableye', 'Volcarona', 'Primarina', 'Malamar', 'Comfey', 'Landorus']","['Porygon2', 'Incineroar', 'Kommo-o', 'Ting-Lu', 'Amoonguss', 'Gholdengo']",0
"['Infernape', 'Rillaboom', 'Ambipom', 'Annihilape', 'Passimian', 'Oranguru']","['Ursaluna', 'Hatterene', 'Flutter Mane', 'Torkoal', 'Indeedee-F', 'Gallade']",0
"['Raging Bolt', 'Flutter Mane', 'Kingambit', 'Farigiraf', 'Ursaluna-Bloodmoon', 'Talonflame']","['Tyranitar', 'Iron Hands', 'Incineroar', 'Ogerpon-Cornerstone', 'Rillaboom', 'Lycanroc']",1
"['Flutter Mane', 'Urshifu-*', 'Tornadus', 'Excadrill', 'Tyranitar', 'Chi-Yu']","['Ogerpon-Wellspring', 'Dragonite', 'Dondozo', 'Chien-Pao', 'Glimmora', 'Tatsugiri']",0
"['Smeargle', 'Sinistcha', 'Incineroar', 'Lycanroc', 'Metagross', 'Tyranitar']","['Flutter Mane', 'Incineroar', 'Urshifu-*', 'Raging Bolt', 'Ogerpon-Wellspring', 'Amoonguss']",1
"['Rillaboom', 'Urshifu-*', 'Grimmsnarl', 'Heatran', 'Corviknight', 'Flutter Mane']","['Incineroar', 'Urshifu-*', 'Rillaboom', 'Raging Bolt', 'Chien-Pao', 'Landorus']",1
"['Tornadus', 'Urshifu-*', 'Ogerpon-Wellspring', 'Incineroar', 'Flutter Mane', 'Thundurus-Therian']","['Cramorant', 'Thundurus', 'Kingambit', 'Great Tusk', 'Farigiraf', 'Enamorus']",0
"['Gholdengo', 'Tornadus', 'Ogerpon-Wellspring', 'Incineroar', 'Urshifu-*', 'Rillaboom']","['Pelipper', 'Orthworm', 'Landorus-Therian', 'Drednaw', 'Tornadus', 'Archaludon']",0
"['Drifblim', 'Chi-Yu', 'Terrakion', 'Indeedee-F', 'Whimsicott', 'Annihilape']","['Ogerpon-Wellspring', 'Ninetales-Alola', 'Arcanine-Hisui', 'Articuno', 'Landorus', 'Raging Bolt']",1
"['Flutter Mane', 'Incineroar', 'Archaludon', 'Landorus', 'Pelipper', 'Urshifu-*']","['Dragapult', 'Inteleon', 'Tornadus', 'Urshifu-*', 'Flutter Mane', 'Incineroar']",1
"['Glimmora', 'Tornadus', 'Urshifu-*', 'Ogerpon-Wellspring', 'Flutter Mane', 'Gouging Fire']","['Thundurus', 'Raging Bolt', 'Inteleon', 'Landorus', 'Incineroar', 'Ogerpon-Hearthflame']",0
"['Pelipper', 'Orthworm', 'Landorus-Therian', 'Drednaw', 'Tornadus', 'Archaludon']","['Gholdengo', 'Urshifu-*', 'Tornadus', 'Arcanine-Hisui', 'Ogerpon-Wellspring', 'Raging Bolt']",0
